nutrients,maxT_y,minT_y,temperature,species,species_initial,slope
0.01 g/L,-0.0433340363320783,0.0627507972753697,18-21 °C,Colpidium,C,-0.0353616112024827
0.01 g/L,0.251500953884746,0.255191633309875,18-21 °C,Dexiostoma,D,-0.00123022647504291
0.01 g/L,0.0107168265292822,0.215894052240141,18-21 °C,Loxocephalus,L,-0.0683924085702862
0.01 g/L,0.141109203039518,0.0785786250299977,18-21 °C,Paramecium,P,0.0208435260031735
0.01 g/L,-0.181569551499503,-0.0214341661845431,18-21 °C,Spirostomum,S,-0.0533784617716532
0.35 g/L,0.233350890515588,0.237344363061334,18-21 °C,Colpidium,C,-0.00133115751524872
0.35 g/L,0.538971884819274,0.569891407262374,18-21 °C,Dexiostoma,D,-0.0103065074810333
0.35 g/L,0.247474402778632,0.385728240358701,18-21 °C,Loxocephalus,L,-0.0460846125266896
0.35 g/L,0.26284298499081,0.289703495391952,18-21 °C,Paramecium,P,-0.00895350346704712
0.35 g/L,-0.0886736768730312,-0.00132893089752593,18-21 °C,Spirostomum,S,-0.0291149153251684
0.75 g/L,0.479347455816656,0.427552393882876,18-21 °C,Colpidium,C,0.0172650206445934
0.75 g/L,0.661309578592765,0.734477298384101,18-21 °C,Dexiostoma,D,-0.0243892399304453
0.75 g/L,0.507574602805178,0.545536110826169,18-21 °C,Loxocephalus,L,-0.012653836006997
0.75 g/L,0.416628880348833,0.474757923074412,18-21 °C,Paramecium,P,-0.0193763475751928
0.75 g/L,0.00980211637820123,0.0225992992506484,18-21 °C,Spirostomum,S,-0.00426572762414904
0.01 g/L,-1.19728940246466,-0.217158024513019,22-25 °C,Colpidium,C,-0.326710459317215
0.01 g/L,0.16333731684808,0.235246951666573,22-25 °C,Dexiostoma,D,-0.0239698782728309
0.01 g/L,-0.0960263753312365,-0.071619485649675,22-25 °C,Loxocephalus,L,-0.00813562989385382
0.01 g/L,0.0813579577244412,0.133027060698809,22-25 °C,Paramecium,P,-0.0172230343247892
0.01 g/L,-0.241020368887401,-0.189417511250537,22-25 °C,Spirostomum,S,-0.0172009525456216
0.35 g/L,-0.24041908632334,0.211551399832503,22-25 °C,Colpidium,C,-0.150656828718614
0.35 g/L,0.484975804728928,0.527015925111011,22-25 °C,Dexiostoma,D,-0.0140133734606941
0.35 g/L,0.284798567607974,0.167069359281472,22-25 °C,Loxocephalus,L,0.0392430694421674
0.35 g/L,0.222018753388596,0.253542199629017,22-25 °C,Paramecium,P,-0.0105078154134734
0.35 g/L,-0.161777959493338,-0.092462951759398,22-25 °C,Spirostomum,S,-0.0231050025779799
0.75 g/L,0.472436126315788,0.556495449487073,22-25 °C,Colpidium,C,-0.0280197743904281
0.75 g/L,0.617893365727907,0.652264512662277,22-25 °C,Dexiostoma,D,-0.0114570489781233
0.75 g/L,0.557334303062731,0.460944269799306,22-25 °C,Loxocephalus,L,0.0321300110878085
0.75 g/L,0.386392446908762,0.408639019986173,22-25 °C,Paramecium,P,-0.00741552435913673
0.75 g/L,-0.0727945386794508,0.00947348509562013,22-25 °C,Spirostomum,S,-0.0274226745916903
0.01 g/L,-0.350884169612544,-1.19728940246466,25-28 °C,Colpidium,C,0.282135077617374
0.01 g/L,0.0653985697256562,0.16333731684808,25-28 °C,Dexiostoma,D,-0.032646249040808
0.01 g/L,0.69452646843575,-0.0960263753312365,25-28 °C,Loxocephalus,L,0.263517614588995
0.01 g/L,-0.0528600649305908,0.0813579577244412,25-28 °C,Paramecium,P,-0.0447393408850107
0.01 g/L,-0.445224319075147,-0.241020368887401,25-28 °C,Spirostomum,S,-0.0680679833959151
0.35 g/L,-3.21064148983917,-0.24041908632334,25-28 °C,Colpidium,C,-0.990074134505277
0.35 g/L,0.356501339662986,0.484975804728928,25-28 °C,Dexiostoma,D,-0.0428248216886474
0.35 g/L,2.04758889920853,0.284798567607974,25-28 °C,Loxocephalus,L,0.587596777200184
0.35 g/L,0.106542628247284,0.222018753388596,25-28 °C,Paramecium,P,-0.0384920417137709
0.35 g/L,-0.403744100126632,-0.161777959493338,25-28 °C,Spirostomum,S,-0.0806553802110981
0.75 g/L,-4.27630653601469,0.472436126315788,25-28 °C,Colpidium,C,-1.58291422077683
0.75 g/L,0.485968003482823,0.617893365727907,25-28 °C,Dexiostoma,D,-0.0439751207483612
0.75 g/L,1.8703542690202,0.557334303062731,25-28 °C,Loxocephalus,L,0.437673321985822
0.75 g/L,0.301464042179055,0.386392446908762,25-28 °C,Paramecium,P,-0.0283094682432359
0.75 g/L,-0.343854982326613,-0.0727945386794508,25-28 °C,Spirostomum,S,-0.0903534812157209
